Course,Section,Days(MTWRF),StartTime,EndTime,Campus(M/P),ClassSize
ENGL1050,B35,MW,1800,1940,M,21
ENGL1050,B40,TR,1600,1740,M,21
ENGL1050,F03,TR,800,940,M,21
ENGL1050,F05,MW,1000,1140,M,21
ENGL1050,F07,TR,1000,1140,M,21
ENGL1050,F08,MW,1200,1340,M,21
ENGL1050,F09,TR,1400,1540,M,21
ENGL1050,F10,MW,1200,1340,M,21
ENGL1050,F13,MW,1400,1540,M,21
ENGL1050,F17,TR,1200,1340,M,21
ENGL1050,H10,MW,1000,1140,M,21
ENGL1050,H15,TR,1000,1140,M,21
ENGL1050,H20,MW,1400,1540,M,21
ENGL1100,110,MW,1000,1140,M,22
ENGL1100,125,MW,1600,1740,M,22
ENGL1100,130,MW,1400,1540,M,22
ENGL1100,135,TR,1200,1340,M,22
ENGL1100,170,MW,1200,1340,M,22
ENGL1100,175,TR,1000,1140,M,22
ENGL1100,H10,TR,1200,1340,M,22
ENGL1120,100,MW,1000,1140,M,27
ENGL2100,105,TR,1800,2115,M,60
ENGL2100,500,MW,1530,1645,M,200
ENGL2110,100,T,1200,1340,M,40
ENGL2110,100,,,,M,40
ENGL2220,105,TR,1200,1340,M,27
ENGL2230,100,MW,1200,1340,M,27
ENGL2230,105,TR,1400,1540,M,27
ENGL2520,105,MW,1000,1140,M,27
ENGL2660,105,MW,1000,1140,M,16
ENGL2660,120,MW,1400,1540,M,16
ENGL2660,130,TR,1200,1340,M,16
ENGL2660,135,TR,1600,1740,M,16
ENGL2790,100,MW,1400,1515,M,22
GEOG1000,105,MW,1200,1340,M,80
GEOG1000,110,MW,1000,1150,M,80
GEOG1000,115,TR,1700,1840,M,80
GEOG1020,100,TR,1530,1645,M,45
GEOG1020,105,TR,1230,1345,M,80
GEOG1050,100,W,1730,2140,M,20
GEOG1050,500,TR,930,1045,M,120
GEOG1050,600,MW,1530,1645,M,120
GEOG1900,M26,MW,1400,1620,M,24
GEOG1900,M80,MW,1100,1320,M,24
GEOG1900,M87,MW,800,1020,M,24
GEOG2050,100,TR,930,1045,M,80
GEOG2250,500,TR,1100,1215,M,80
GEOG2560,100,MW,1300,1415,M,50
GEOG2650,100,M,1830,2100,M,48
GEOS1000,500,TR,1230,1345,M,140
GEOS1200,500,MW,1300,1350,M,30
GEOS1300,600,MWF,1300,1350,M,88
GEOS2320,300,F,1400,1515,M,35
GEOS2900,M82,TR,1000,1220,M,24
MATH1090,100,MWF,800,850,M,30
MATH1090,105,MWF,800,850,M,30
MATH1090,125,MWF,900,950,M,30
MATH1090,127,MWF,1000,1050,M,30
MATH1090,130,MWF,1000,1050,M,30
MATH1090,135,MWF,1000,1050,M,30
MATH1090,145,MWF,1100,1150,M,30
MATH1090,150,MWF,1100,1150,M,30
MATH1090,155,MWF,1100,1150,M,30
MATH1100,01P,MTWRF,900,950,M,25
MATH1100,02P,MTWRF,1000,1050,M,25
MATH1100,100,MWF,800,850,M,35
MATH1100,105,MWF,900,950,M,35
MATH1100,106,MWF,900,950,M,35
MATH1100,107,TR,930,1045,M,35
MATH1100,110,MWF,1000,1050,M,35
MATH1100,115,MWF,1000,1050,M,35
MATH1100,130,MWF,1100,1150,M,35
MATH1100,140,TR,1100,1215,M,35
MATH1100,160,MWF,1200,1250,M,35
MATH1100,165,MWF,1200,1250,M,35
MATH1100,170,MWF,1300,1350,M,35
MATH1100,175,MWF,1300,1350,M,35
MATH1100,195,TR,1700,1815,M,35
MATH1100,200,TR,1700,1815,M,35
MATH1100,205,TR,1700,1815,M,35
MATH1100,215,TR,1830,1945,M,35
MATH1100,220,TR,1830,1945,M,35
MATH1110,100,MWF,800,850,M,35
MATH1110,102,MWF,900,950,M,35
MATH1110,104,MWF,900,950,M,35
MATH1110,105,MWF,900,950,M,35
MATH1110,110,MWF,1000,1050,M,35
MATH1110,115,MWF,1100,1150,M,40
MATH1110,125,MWF,1200,1250,M,40
MATH1110,130,TR,1230,1345,M,35
MATH1110,140,MWF,1300,1350,M,35
MATH1110,155,TR,1400,1515,M,35
MATH1110,160,TR,1530,1645,M,35
MATH1110,170,TR,1700,1815,M,35
MATH1110,190,TR,1830,1945,M,35
MATH1140,500,MW,1400,1450,M,250
MATH1160,100,MWF,1500,1550,M,40
MATH1160,500,MW,1100,1150,M,270
MATH1160,600,MW,1300,1350,M,180
MATH1180,100,MTRF,800,850,M,35
MATH1180,110,MTRF,1000,1050,M,40
MATH1180,115,MTRF,1100,1150,M,35
MATH1180,125,MTRF,1300,1350,M,35
MATH1180,130,MTRF,1400,1450,M,40
MATH1180,160,MTWR,1800,1850,M,40
MATH1220,100,MTRF,800,850,M,40
MATH1220,110,MTRF,1000,1050,M,35
MATH1220,120,MTRF,1300,1350,M,40
MATH1220,125,MTRF,1300,1350,M,25
MATH1220,130,MTRF,1400,1450,M,40
MATH1230,100,MTRF,800,850,M,40
MATH1230,105,MTRF,900,950,M,40
MATH1230,106,MTRF,1000,1050,M,41
MATH1230,120,MTRF,1300,1350,M,40
MATH1230,125,MTRF,1400,1450,M,40
MATH1450,100,MWF,900,950,M,35
MATH1500,105,TR,1000,1140,M,30
MATH1500,125,TR,1400,1540,M,30
MATH1510,115,MW,1400,1540,M,30
MATH1510,120,TR,1400,1540,M,30
MATH1700,100,MTRF,900,950,M,40
MATH1700,105,MTRF,1400,1450,M,35
MATH1700,108,MTRF,1300,1350,M,25
MATH1710,110,MTRF,1200,1250,M,40
MATH2000,500,TR,800,915,M,180
MATH2300,100,MTRF,1100,1150,M,40
MATH2650,100,MW,1000,1140,M,30
MATH2650,120,TR,1400,1540,M,30
MATH2720,107,MTRF,1000,1050,M,42
MATH2720,109,MTRF,1000,1050,M,35
MATH2720,110,MTRF,1200,1250,M,40
MATH2720,115,MTRF,1400,1450,M,40
MATH2720,125,MW,1600,1740,M,40
PHYS1030,100,R,1300,1450,M,24
PHYS1030,105,R,1500,1650,M,24
PHYS1030,110,W,1300,1450,M,24
PHYS1030,115,T,1500,1650,M,24
PHYS1040,100,TR,1100,1215,M,120
PHYS1070,100,MTWR,1000,1050,M,125
PHYS1070,100,R,1700,1750,M,125
PHYS1080,105,T,800,950,M,24
PHYS1080,110,W,800,950,M,24
PHYS1080,115,R,800,950,M,24
PHYS1080,125,W,1400,1550,M,24
PHYS1080,130,T,1500,1650,M,24
PHYS1130,100,MTWRF,900,950,M,75
PHYS1130,105,MTWRF,1500,1550,M,75
PHYS1140,115,R,1300,1450,M,24
PHYS1140,120,T,1300,1450,M,24
PHYS1140,125,W,1300,1450,M,24
PHYS1140,130,T,1600,1750,M,24
PHYS1140,135,W,1600,1750,M,24
PHYS1150,100,MTWRF,1400,1450,M,75
PHYS1160,105,R,1100,1250,M,24
PHYS1160,110,T,1500,1650,M,24
PHYS1160,115,W,1500,1650,M,24
PHYS1800,M85,TR,1300,1520,M,24
PHYS1800,M86,TR,900,1120,M,24
PHYS1905,100,F,1500,1550,M,35
PHYS2050,100,MWF,900,950,M,75
PHYS2050,100,T,1800,1850,M,75
PHYS2050,105,MWF,1100,1150,M,75
PHYS2050,105,T,1800,1850,M,75
PHYS2050,110,MWF,1400,1450,M,75
PHYS2050,110,T,1800,1850,M,75
PHYS2060,100,T,800,950,M,24
PHYS2060,105,R,1000,1150,M,24
PHYS2060,110,T,1200,1350,M,24
PHYS2060,115,W,1200,1350,M,24
PHYS2060,120,R,1200,1350,M,24
PHYS2060,125,T,1500,1650,M,24
PHYS2060,130,W,1500,1650,M,24
PHYS2060,135,R,1500,1650,M,24
PHYS2070,100,MTWR,1100,1150,M,75
PHYS2070,100,R,1930,2020,M,75
PHYS2070,105,MTWR,1300,1350,M,75
PHYS2070,105,R,1930,2020,M,75
PHYS2080,100,T,800,950,M,24
PHYS2080,105,R,800,950,M,24
PHYS2080,110,W,900,1050,M,24
PHYS2080,115,W,1400,1550,M,24
PHYS2080,120,T,1600,1750,M,24
PHYS2080,125,R,1600,1750,M,24
PHYS2500,100,TR,1300,1430,M,18
PHYS2500,100,M,1300,1350,M,18
STAT1600,100,TR,1100,1215,M,35
STAT1600,105,MW,1400,1515,M,35
STAT1600,110,TR,930,1045,M,35
STAT1600,115,TR,1100,1215,M,35
STAT1600,120,TR,1230,1345,M,35
STAT1600,125,TR,1400,1515,M,35
STAT1600,130,TR,1230,1345,M,35
STAT1600,135,TR,930,1045,M,35
STAT1600,140,MW,1400,1515,M,35
STAT1600,145,MW,1700,1815,M,35
STAT1600,150,TR,1400,1515,M,35
STAT2160,105,MWF,900,950,M,33
STAT2160,125,MWF,800,850,M,33
STAT2160,130,MWF,900,950,M,33
STAT2160,137,MWF,1000,1050,M,33
STAT2160,160,MWF,1000,1050,M,33
STAT2160,187,MWF,1200,1250,M,33
STAT2160,188,MWF,1200,1250,M,33
STAT2160,195,MWF,1300,1350,M,33
STAT2160,215,MWF,1400,1450,M,33
STAT2600,100,MW,1600,1740,M,35
STAT2600,105,TR,1200,1340,M,25
